Rank,2009 Rank,Company and Year-end,Profit ($000),% Chg,Revenue ($000),% Chg,Assets ($000),% Chg,Mkt Cap ($-mil),Employees,Industry,Rank Change,Profit Margin,Revenue per Employee,Profit Per Employee,Return on Assets
5,4,Research In Motion(Fe11)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=RIM-T,3411000,39,19915000,33,12875000,26,33669,17500,Telecommunications,-1,0,1138000,194914,0
42,47,Agrium Inc.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=AGU-T,714000,95,10829000,16,12717000,30,14457,14150,Chemicals,5,0,765300,50459,0
114,120,Canadian Western Bank(Oc10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=CWB-T,163621,54,663182,10,12701691,9,1690,1828,Banks,6,0,362791,89508,0
59,98,Intact Financial(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=IFC-T,419800,231,4668900,10,12148900,7,5705,7500,Insurance - Property & Casualty,39,0,622520,55973,0
56,48,Westcoast Energy(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=W.PR.H-T,448000,13,3403000,-2,11952000,4, ,3343,Pipelines,-8,0,1017948,134011,0
991,76,Valeant Pharmaceuticals Intl(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=VRX-T,-208193,-218,1177553,40,10795117,424,8553,3700,Biotechnology & Pharmaceuticals,-915,0,318258,-56268,0
93,138,Sherritt International(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=S-T,214000,150,1835900,26,10721500,8,2499,6800,Integrated Mines,45,0,269985,31471,0
147,850,Air Canada(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=AC.A-T,107000,546,10950000,5,10544000,1,962,22494,Transportation,703,0,486796,4757,0
53,73,Yamana Gold(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=YRI-T,451444,134,1721312,44,10299241,6,9467,4513,Precious Metals,20,0,381412,100032,0
78,60,ATCO Ltd.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=ACO.X-T,292900,3,3483700,10,10239800,3,3426,7700,Management & Diversified,-18,0,452429,38039,0
48,40,Shaw Communications(Au10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=SJR.B-T,532732,-1,3858946,9,10153965,14,9473,13000,Cable,-8,0,296842,40979,0
92,78,TransAlta Corp.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=TA-T,219000,21,2846000,2,9893000,1,4659,2389,Electrical Utilities,-14,0,1191293,91670,0
58,44,Canadian Utilities(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=CU-T,435000,-7,2716200,2,9415300,4,6851,5731,Electrical Utilities,-14,0,473949,75903,0
83,75,Yellow Media(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=YLO-T,274035,31,1679860,2,9300248,4,3199,4600,Publishing & Printing,-8,0,365187,59573,0
41,38,IGM Financial(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=IGM-T,735585,32,2622528,13,8892563,3,11287,3343,Investment Companies and Funds,-3,0,784483,220037,0
89,63,Quebecor Inc.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=QBR.B-T,230100,-17,4046200,5,8793000,5,2420,16360,Publishing & Printing,-26,0,247323,14065,0
54,54,Canadian Tire Corp.(Ja11)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=CTC.A-T,453600,35,8988700,3,8764100,-1,5554,56900,Specialty Stores,0,0,157974,7972,0
57,51,SNC-Lavalin Group(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=SNC-T,437014,22,6327767,3,8603223,19,9027,21948,Contractors,-6,0,288307,19911,0
309,887,Crescent Point Energy Trust(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=CPG-T,20021,164,1490358,67,7866102,45,11795,275,Oil and Gas Producers,578,0,5419484,72804,0
105,91,Home Capital Group(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=HCG-T,180944,25,533937,9,7712239,5,1794,560,Finance and Leasing,-14,0,953459,323114,0
49,25,Cameco Corp.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=CCO-T,514749,-53,2142828,-17,7671368,4,15892,3300,Integrated Mines,-24,0,649342,155985,0
47,37,Shoppers Drug Mart(Ja11)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=SC-T,590743,1,10376067,4,7122210,4,8596,52160,Specialty Stores,-10,0,198928,11326,0
38,46,Canadian Oil Sands(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=COS-T,886000,105,3521000,20,7016000,1,12815,30,Oil and Gas Producers,8,0,117366667,29533333,0
74,107,RioCan REIT(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=REI.UN-T,303000,166,890000,17,6859000,17,5716,598,Property Management & Investment,33,0,1488294,506689,0
82,67,CU Inc.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=CIU.PR.A-T,277200,6,1529100,8,6636900,1, ,4319,Gas Utilities,-15,0,354040,64182,0
144,89,Petrobank Energy and Resources(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=PBG-T,115785,-20,1028541,67,6402586,11,2682,76,Oil and Gas Producers,-55,0,13533434,1523487,0
100,79,Emera Inc.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=EMA-T,194200,11,1593300,4,6329100,20,3593,2300,Management & Diversified,-21,0,692739,84435,0
75,66,Empire Company(My10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=EMP.A-T,301900,14,15547200,3,6248300,6,3627,90000,Food Stores,-9,0,172747,3354,0
121,110,Viterra Inc.(Oc10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=VT-T,145272,28,8271687,24,6116882,-5,3631,4067,Agriculture,-11,0,2033855,35720,0
130,136,Enerplus Corp.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=ERF-T,127112,43,1352846,0,5835172,-1,5479,709,Oil and Gas Producers,6,0,1908104,179283,0
210,197,PetroBakken Energy(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=PBN-T,47985,11,1019671,83,5768795,29,4063,300,Oil and Gas Producers,-13,0,3398903,159950,0
60,55,Sino-Forest Corp.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=TRE-T,395426,38,1932658,55,5729033,45,5723,3949,Forestry,-5,0,489404,100133,0
95,80,Union Gas(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=UNG.PR.C-T,206000,18,1830000,-9,5585000,3, ,2207,Gas Utilities,-15,0,829180,93339,0
111,128,H&R REIT(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=HR.UN-T,170438,78,616971,0,5546975,3,2839,7,Property Management & Investment,17,0,88138714,24348286,0
67,125,Agnico-Eagle Mines(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=AEM-T,332116,284,1517400,137,5500351,30,12924,4500,Precious Metals,58,0,337200,73804,0
66,49,Genworth MI Canada(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=MIC-T,348726,-8,808490,-11,5398201,4,2891,267,Insurance - Property & Casualty,-17,0,3028052,1306090,0
942,996,Harvest Operations(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=HTE.DB.D-T,-44561,   n/a ,3961325,   n/a ,5367227,12,34023,365,Oil and Gas Producers,54,0,10852945,-122085,0
168,147,Co-operators General Insurance(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=CCS.PR.C-T,80744,9,2306046,3,5271374,3, ,2945,Insurance - Property & Casualty,-21,0,783038,27417,0
985,41,First Quantum Minerals(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=FM-T,-123400,-127,2899500,65,5258600,15,9307,6904,Metal Mines,-944,0,419974,-17874,0
142,127,AGF Management(No10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=AGF.B-T,116775,20,758033,-3,5253861,-7,1527,825,Investment Companies and Funds,-15,0,918828,141545,0
388, ,Capital Power(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=CPX-T,11000,-74,1767000,-13,5217000,4,733,1100,Gas Utilities,,0,1606364,10000,0
892,135,Groupe Aeroplan(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=AER-T,-22501,-125,2077969,43,5146052,-1,2553,3500,Other Services,-757,0,593705,-6429,0
88,140,Pengrowth Energy(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=PGF-T,230257,171,1440596,8,5042766,7,4167,582,Oil and Gas Producers,52,0,2475251,395631,0
223, ,MEG Energy(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=MEG-T,40097,-22,803795,448,5017631,18,8637,279,Oil and Gas Producers,,0,2880986,143717,0
85,71,ARC Resources(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=ARX-T,260800,17,1335000,26,4946500,26,7226,500,Oil and Gas Producers,-14,0,2670000,521600,0
61,52,Metro Inc.(Se10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=MRU.A-T,391800,11,11385200,1,4821600,4,4744,65000,Food Stores,-9,0,175157,6028,0
86,85,Inter Pipeline Fund(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=IPL.UN-T,234769,49,992772,13,4712185,5,3850,634,Pipelines,-1,0,1565886,370298,0
80,164,BPO Properties(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=BPP.PR.G-T,281900,276,518600,20,4665100,10, ,0,Property Management & Investment,84,1,#DIV/0!,#DIV/0!,0
63,56,CGI Group(Se10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=GIB.A-T,362766,14,3736873,-2,4607191,18,4202,25000,Computer Software & Processing,-7,0,149475,14511,0
201,181,Equitable Group(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=ETC-T,54267,6,211116,2,4453466,16,373,183,Finance and Leasing,-20,0,1153639,296541,0
381,246,Calloway REIT(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=CWT.UN-T,11645,-50,494417,7,4373522,3,2686,115,Property Management & Investment,-135,0,4299278,101261,0
190,83,Precision Drilling(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=PD-T,62091,-62,1443168,9,4296788,3,2647,6584,Oil and Gas Field Services,-107,0,219193,9431,0
